graph,label,target_prompt,target_position,source_position
"[['stairway', 'is used for', '<extra_id_0>']]",going down,summarize: stairway is used for <extra_id_0>,8,3
"[['clean house', 'is motivated by', '<extra_id_0>']]",please parents,summarize: clean house is motivated by <extra_id_0>,7,3
"[['shock', 'is a manner of', '<extra_id_0>']]",dismay,summarize: shock is a manner of <extra_id_0>,8,5
"[['going on vacation', 'causes', '<extra_id_0>']]",panic,summarize: going on vacation causes <extra_id_0>,6,1
"[['taking exam', 'causes', '<extra_id_0>']]",study,summarize: taking exam causes <extra_id_0>,5,1
"[['scrutiny', 'is a synonym of', '<extra_id_0>']]",survey,summarize: scrutiny is a synonym of <extra_id_0>,8,5
"[['supportable', 'is an antonym of', '<extra_id_0>']]",insupportable,summarize: supportable is an antonym of <extra_id_0>,10,6
"[['blush', 'is a manner of', '<extra_id_0>']]",discolor,summarize: blush is a manner of <extra_id_0>,8,5
"[['drummer', 'is in', '<extra_id_0>']]",demonstration,summarize: drummer is in <extra_id_0>,5,2
"[['harmonize', 'is a manner of', '<extra_id_0>']]",relate,summarize: harmonize is a manner of <extra_id_0>,10,5
"[['standing up', 'causes', '<extra_id_0>']]",dizziness,summarize: standing up causes <extra_id_0>,5,1
"[['standing up', 'has prerequisite', '<extra_id_0>']]",gravity,summarize: standing up has prerequisite <extra_id_0>,6,2
"[['board room', 'is a form of', '<extra_id_0>']]",boardroom,summarize: board room is a form of <extra_id_0>,9,5
"[['mammal', 'is capable of', '<extra_id_0>']]",mate,summarize: mammal is capable of <extra_id_0>,8,3
"[['scuba dive', 'is motivated by', '<extra_id_0>']]",thrilling,summarize: scuba dive is motivated by <extra_id_0>,9,3
"[['have friends over', 'is motivated by', '<extra_id_0>']]",speak to,summarize: have friends over is motivated by <extra_id_0>,8,3
"[['bung', 'is a part of', '<extra_id_0>']]",barrel,summarize: bung is a part of <extra_id_0>,9,5
"[['electrifying', 'is a form of', '<extra_id_0>']]",electrify,summarize: electrifying is a form of <extra_id_0>,10,5
"[['esteem', 'is distinct from', '<extra_id_0>']]",contempt,summarize: esteem is distinct from <extra_id_0>,7,3
"[['waking up in morning', 'causes', '<extra_id_0>']]",resentment,summarize: waking up in morning causes <extra_id_0>,8,1
"[['sing', 'is a form of', '<extra_id_0>']]",singh,summarize: sing is a form of <extra_id_0>,8,5
"[['sphene', 'has context', '<extra_id_0>']]",mineral,summarize: sphene has context <extra_id_0>,8,2
"[['oil', 'is', '<extra_id_0>']]",opaque,summarize: oil is <extra_id_0>,4,1
"[['go to mall', 'has subevent', '<extra_id_0>']]",park,summarize: go to mall has subevent <extra_id_0>,9,4
"[['injure', 'is an antonym of', '<extra_id_0>']]",praise,summarize: injure is an antonym of <extra_id_0>,11,6
"[['tickling', 'has subevent', '<extra_id_0>']]",terrible misunderstanding,summarize: tickling has subevent <extra_id_0>,8,4
"[['ceramic ware', 'is a', '<extra_id_0>']]",utensil,summarize: ceramic ware is a <extra_id_0>,8,3
"[['paycheck', 'is a', '<extra_id_0>']]",transfer,summarize: paycheck is a <extra_id_0>,6,3
"[['living', 'has subevent', '<extra_id_0>']]",being involved in accident,summarize: living has subevent <extra_id_0>,7,4
"[['make people laugh', 'is motivated by', '<extra_id_0>']]",breaks ice,summarize: make people laugh is motivated by <extra_id_0>,8,3
"[['band', 'is a form of', '<extra_id_0>']]",bind,summarize: band is a form of <extra_id_0>,8,5
"[['eminence', 'is an antonym of', '<extra_id_0>']]",obscurity,summarize: eminence is an antonym of <extra_id_0>,12,6
"[['awadh', 'is a part of', '<extra_id_0>']]",urdu,summarize: awadh is a part of <extra_id_0>,11,5
"[['teaching other people', 'causes', '<extra_id_0>']]",satisfaction,summarize: teaching other people causes <extra_id_0>,6,1
"[['stealing', 'is', '<extra_id_0>']]",bad,summarize: stealing is <extra_id_0>,5,1
"[['hints', 'is a form of', '<extra_id_0>']]",hint,summarize: hints is a form of <extra_id_0>,9,5
"[['court', 'is a', '<extra_id_0>']]",cortege,summarize: court is a <extra_id_0>,6,3
"[['physisorption', 'has context', '<extra_id_0>']]",physics,summarize: physisorption has context <extra_id_0>,9,2
"[['run', 'has subevent', '<extra_id_0>']]",shortness of breath,summarize: run has subevent <extra_id_0>,7,4
"[['go to store', 'has prerequisite', '<extra_id_0>']]",walk,summarize: go to store has prerequisite <extra_id_0>,7,2
"[['blast', 'is a synonym of', '<extra_id_0>']]",gust,summarize: blast is a synonym of <extra_id_0>,8,5
"[['ticks', 'is', '<extra_id_0>']]",pest,summarize: ticks is <extra_id_0>,5,1
"[['equality for everyone', 'is capable of', '<extra_id_0>']]",misinterpreted,summarize: equality for everyone is capable of <extra_id_0>,8,3
"[['hoy', 'has context', '<extra_id_0>']]",geordie,summarize: hoy has context <extra_id_0>,6,2
"[['pancreas', 'is a part of', '<extra_id_0>']]",digestive system,summarize: pancreas is a part of <extra_id_0>,11,5
"[['markup language', 'has context', '<extra_id_0>']]",programming,summarize: markup language has context <extra_id_0>,7,2
"[['emasculate', 'is a manner of', '<extra_id_0>']]",sterilize,summarize: emasculate is a manner of <extra_id_0>,12,5
"[['lizard', 'is in', '<extra_id_0>']]",shade,summarize: lizard is in <extra_id_0>,7,2
"[['divine being', 'is a', '<extra_id_0>']]",supernatural being,summarize: divine being is a <extra_id_0>,7,3
"[['watching television', 'has subevent', '<extra_id_0>']]",channel surfing,summarize: watching television has subevent <extra_id_0>,8,4
"[['judging', 'has subevent', '<extra_id_0>']]",feeling inferior,summarize: judging has subevent <extra_id_0>,8,4
"[['run marathon', 'has subevent', '<extra_id_0>']]",keep going,summarize: run marathon has subevent <extra_id_0>,8,4
"[['perform', 'has prerequisite', '<extra_id_0>']]",practice,summarize: perform has prerequisite <extra_id_0>,5,2
"[['people', 'is capable of', '<extra_id_0>']]",pass buck,summarize: people is capable of <extra_id_0>,6,3
"[['get', 'is motivated by', '<extra_id_0>']]",need,summarize: get is motivated by <extra_id_0>,6,3
"[['auditorium', 'is used for', '<extra_id_0>']]",performances,summarize: auditorium is used for <extra_id_0>,7,3
"[['noncombustibility', 'is an antonym of', '<extra_id_0>']]",combustibility,summarize: noncombustibility is an antonym of <extra_id_0>,13,6
"[['having party', 'causes', '<extra_id_0>']]",mess,summarize: having party causes <extra_id_0>,5,1
"[['important news', 'causes desire', '<extra_id_0>']]",tell many people about,summarize: important news causes desire <extra_id_0>,6,2
"[['diagnosis of infection', 'is a', '<extra_id_0>']]",medical diagnosis,summarize: diagnosis of infection is a <extra_id_0>,8,3
"[['skiing', 'is used for', '<extra_id_0>']]",pleasure,summarize: skiing is used for <extra_id_0>,6,3
"[['place', 'is used for', '<extra_id_0>']]",event,summarize: place is used for <extra_id_0>,6,3
"[['human', 'is capable of', '<extra_id_0>']]",drive car,summarize: human is capable of <extra_id_0>,6,3
"[['disco', 'is in', '<extra_id_0>']]",eighties,summarize: disco is in <extra_id_0>,6,2
"[['pet', 'is an antonym of', '<extra_id_0>']]",wild animal,summarize: pet is an antonym of <extra_id_0>,9,6
"[['sewing', 'causes', '<extra_id_0>']]",eye strain,summarize: sewing causes <extra_id_0>,4,1
"[['go on vacation', 'has subevent', '<extra_id_0>']]",rejuvenate,summarize: go on vacation has subevent <extra_id_0>,9,4
"[['learning about world', 'has prerequisite', '<extra_id_0>']]",study,summarize: learning about world has prerequisite <extra_id_0>,7,2
"[['de escalate', 'is a form of', '<extra_id_0>']]",deescalate,summarize: de escalate is a form of <extra_id_0>,9,5
"[['becoming inebriated', 'causes', '<extra_id_0>']]",staggering,summarize: becoming inebriated causes <extra_id_0>,8,1
"[['respect', 'is an antonym of', '<extra_id_0>']]",insult,summarize: respect is an antonym of <extra_id_0>,9,6
"[['feel pain', 'has subevent', '<extra_id_0>']]",cry,summarize: feel pain has subevent <extra_id_0>,8,4
"[['killing people', 'is used for', '<extra_id_0>']]",firearm,summarize: killing people is used for <extra_id_0>,7,3
"[['flat foot', 'is a form of', '<extra_id_0>']]",flatfoot,summarize: flat foot is a form of <extra_id_0>,9,5
"[['jumping off cliff', 'causes', '<extra_id_0>']]",dieing,summarize: jumping off cliff causes <extra_id_0>,7,1
"[['family members', 'is in', '<extra_id_0>']]",relatives house,summarize: family members is in <extra_id_0>,6,2
"[['flowers', 'is', '<extra_id_0>']]",calming,summarize: flowers is <extra_id_0>,4,1
"[['grooming', 'has subevent', '<extra_id_0>']]",brushing teeth,summarize: grooming has subevent <extra_id_0>,8,4
"[['competing', 'causes', '<extra_id_0>']]",wins,summarize: competing causes <extra_id_0>,4,1
"[['improvised explosive device', 'is a', '<extra_id_0>']]",explosive device,summarize: improvised explosive device is a <extra_id_0>,11,3
"[['song', 'is a synonym of', '<extra_id_0>']]",birdcall,summarize: song is a synonym of <extra_id_0>,8,5
"[['natal', 'is a part of', '<extra_id_0>']]",brazil,summarize: natal is a part of <extra_id_0>,9,5
"[['sex', 'is', '<extra_id_0>']]",dirty,summarize: sex is <extra_id_0>,6,1
"[['check', 'is used for', '<extra_id_0>']]",pay for,summarize: check is used for <extra_id_0>,6,3
"[['killing', 'causes', '<extra_id_0>']]",dies,summarize: killing causes <extra_id_0>,4,1
"[['go on internet', 'is motivated by', '<extra_id_0>']]",entertainment,summarize: go on internet is motivated by <extra_id_0>,8,3
"[['discovering truth', 'has subevent', '<extra_id_0>']]",lie,summarize: discovering truth has subevent <extra_id_0>,8,4
"[['learn language', 'has prerequisite', '<extra_id_0>']]",take class,summarize: learn language has prerequisite <extra_id_0>,6,2
"[['flirting', 'causes', '<extra_id_0>']]",affection,summarize: flirting causes <extra_id_0>,5,1
"[['servant', 'is an antonym of', '<extra_id_0>']]",mistress,summarize: servant is an antonym of <extra_id_0>,9,6
"[['extend', 'is an antonym of', '<extra_id_0>']]",compress,summarize: extend is an antonym of <extra_id_0>,9,6
"[['check', 'is a manner of', '<extra_id_0>']]",obstruct,summarize: check is a manner of <extra_id_0>,8,5
"[['weapons', 'is used for', '<extra_id_0>']]",threaten,summarize: weapons is used for <extra_id_0>,6,3
"[['being fat', 'causes desire', '<extra_id_0>']]",look better,summarize: being fat causes desire <extra_id_0>,6,2
"[['praying', 'causes', '<extra_id_0>']]",miracles,summarize: praying causes <extra_id_0>,4,1
"[['smoking', 'is', '<extra_id_0>']]",foolish,summarize: smoking is <extra_id_0>,4,1
"[['brittle', 'is a synonym of', '<extra_id_0>']]",brickle,summarize: brittle is a synonym of <extra_id_0>,10,5
"[['sexual activity', 'is in', '<extra_id_0>']]",bedroom,summarize: sexual activity is in <extra_id_0>,6,2
"[['waking up in morning', 'causes', '<extra_id_0>']]",drowsiness,summarize: waking up in morning causes <extra_id_0>,8,1
"[['winning lottery', 'causes desire', '<extra_id_0>']]",visit other countries,summarize: winning lottery causes desire <extra_id_0>,6,2
"[['forbidden', 'is a form of', '<extra_id_0>']]",forbid,summarize: forbidden is a form of <extra_id_0>,8,5
"[['peace', 'is distinct from', '<extra_id_0>']]",violent,summarize: peace is distinct from <extra_id_0>,6,3
"[['springtime', 'causes desire', '<extra_id_0>']]",sing,summarize: springtime causes desire <extra_id_0>,6,2
"[['away', 'is distinct from', '<extra_id_0>']]",in,summarize: away is distinct from <extra_id_0>,6,3
"[['fighting enemy', 'causes', '<extra_id_0>']]",tension,summarize: fighting enemy causes <extra_id_0>,5,1
"[['drinking beer', 'causes desire', '<extra_id_0>']]",smoke,summarize: drinking beer causes desire <extra_id_0>,6,2
"[['electric motor', 'is a part of', '<extra_id_0>']]",electric mixer,summarize: electric motor is a part of <extra_id_0>,9,5
"[['billfold', 'is in', '<extra_id_0>']]",identification,summarize: billfold is in <extra_id_0>,6,2
"[['dorsal', 'has context', '<extra_id_0>']]",linguistics,summarize: dorsal has context <extra_id_0>,8,2
"[['color', 'is distinct from', '<extra_id_0>']]",bland,summarize: color is distinct from <extra_id_0>,6,3
"[['cross street', 'is motivated by', '<extra_id_0>']]",avoid,summarize: cross street is motivated by <extra_id_0>,7,3
"[['hearing song', 'causes desire', '<extra_id_0>']]",sing,summarize: hearing song causes desire <extra_id_0>,6,2
"[['future', 'is a synonym of', '<extra_id_0>']]",succeeding,summarize: future is a synonym of <extra_id_0>,8,5
"[['revere', 'is an antonym of', '<extra_id_0>']]",despise,summarize: revere is an antonym of <extra_id_0>,9,6
"[['recent', 'is distinct from', '<extra_id_0>']]",far,summarize: recent is distinct from <extra_id_0>,6,3
"[['ambiguous', 'is distinct from', '<extra_id_0>']]",explicit,summarize: ambiguous is distinct from <extra_id_0>,8,3
"[['wrestle', 'has subevent', '<extra_id_0>']]",physical contact,summarize: wrestle has subevent <extra_id_0>,7,4
"[['variegated', 'is a synonym of', '<extra_id_0>']]",polychromatic,summarize: variegated is a synonym of <extra_id_0>,11,5
"[['walk', 'has prerequisite', '<extra_id_0>']]",step forward,summarize: walk has prerequisite <extra_id_0>,5,2
"[['go', 'is a manner of', '<extra_id_0>']]",act,summarize: go is a manner of <extra_id_0>,8,5
"[['computer', 'is used for', '<extra_id_0>']]",working,summarize: computer is used for <extra_id_0>,6,3
"[['people', 'is capable of', '<extra_id_0>']]",desire to travel,summarize: people is capable of <extra_id_0>,6,3
"[['guqin', 'has context', '<extra_id_0>']]",musical instrument,summarize: guqin has context <extra_id_0>,8,2
"[['full', 'is distinct from', '<extra_id_0>']]",hungry,summarize: full is distinct from <extra_id_0>,6,3
"[['please parents', 'is motivated by', '<extra_id_0>']]",success,summarize: please parents is motivated by <extra_id_0>,7,3
"[['drive', 'has prerequisite', '<extra_id_0>']]",get in car,summarize: drive has prerequisite <extra_id_0>,5,2
"[['meeting interesting people', 'has subevent', '<extra_id_0>']]",awe,summarize: meeting interesting people has subevent <extra_id_0>,9,4
"[['duty', 'is an antonym of', '<extra_id_0>']]",duty free,summarize: duty is an antonym of <extra_id_0>,9,6
"[['walk around lake', 'has subevent', '<extra_id_0>']]",genuflect,summarize: walk around lake has subevent <extra_id_0>,9,4
"[['slow match', 'is a', '<extra_id_0>']]",match,summarize: slow match is a <extra_id_0>,7,3
"[['vehicles', 'is used for', '<extra_id_0>']]",kill people,summarize: vehicles is used for <extra_id_0>,6,3
"[['gambler', 'is capable of', '<extra_id_0>']]",desire to win,summarize: gambler is capable of <extra_id_0>,7,3
"[['order', 'is distinct from', '<extra_id_0>']]",disarray,summarize: order is distinct from <extra_id_0>,6,3
"[['ick', 'is a form of', '<extra_id_0>']]",ich,summarize: ick is a form of <extra_id_0>,9,5
"[['surfing', 'is used for', '<extra_id_0>']]",thrills,summarize: surfing is used for <extra_id_0>,6,3
"[['arselong', 'has context', '<extra_id_0>']]",uk,summarize: arselong has context <extra_id_0>,7,2
"[['surfing', 'causes', '<extra_id_0>']]",sunburn,summarize: surfing causes <extra_id_0>,4,1
"[['mum', 'causes desire', '<extra_id_0>']]",walk around lake,summarize: mum causes desire <extra_id_0>,5,2
"[['anus', 'is a part of', '<extra_id_0>']]",human body,summarize: anus is a part of <extra_id_0>,9,5
"[['merit', 'is', '<extra_id_0>']]",offensive,summarize: merit is <extra_id_0>,4,1
"[['acidophilic', 'is a synonym of', '<extra_id_0>']]",acidophilous,summarize: acidophilic is a synonym of <extra_id_0>,10,5
"[['plane', 'is capable of', '<extra_id_0>']]",crash,summarize: plane is capable of <extra_id_0>,6,3
"[['hike', 'is motivated by', '<extra_id_0>']]",fresh air,summarize: hike is motivated by <extra_id_0>,6,3
"[['hem', 'is a part of', '<extra_id_0>']]",fabric,summarize: hem is a part of <extra_id_0>,9,5
"[['football hooligan', 'has context', '<extra_id_0>']]",uk,summarize: football hooligan has context <extra_id_0>,8,2
"[['information bearing performance', 'is a', '<extra_id_0>']]",information bearing thing,summarize: information bearing performance is a <extra_id_0>,8,3
"[['gesith', 'has context', '<extra_id_0>']]",historical,summarize: gesith has context <extra_id_0>,8,2
"[['customer', 'is an antonym of', '<extra_id_0>']]",employee,summarize: customer is an antonym of <extra_id_0>,9,6
"[['landmark', 'is in', '<extra_id_0>']]",place,summarize: landmark is in <extra_id_0>,5,2
"[['assemblage', 'is a synonym of', '<extra_id_0>']]",hookup,summarize: assemblage is a synonym of <extra_id_0>,9,5
"[['glass', 'is used for', '<extra_id_0>']]",seeing through,summarize: glass is used for <extra_id_0>,6,3
"[['run', 'is motivated by', '<extra_id_0>']]",scared,summarize: run is motivated by <extra_id_0>,6,3
"[['socialising', 'has prerequisite', '<extra_id_0>']]",tact,summarize: socialising has prerequisite <extra_id_0>,6,2
"[['harrow', 'is a synonym of', '<extra_id_0>']]",prosecute,summarize: harrow is a synonym of <extra_id_0>,10,5
"[['statuesque', 'is a synonym of', '<extra_id_0>']]",stately,summarize: statuesque is a synonym of <extra_id_0>,10,5
"[['danger', 'is distinct from', '<extra_id_0>']]",sage,summarize: danger is distinct from <extra_id_0>,6,3
"[['lymphocytic leukemia', 'is a', '<extra_id_0>']]",leukemia,summarize: lymphocytic leukemia is a <extra_id_0>,13,3
"[['neodymium', 'is a', '<extra_id_0>']]",unalloyed metal,summarize: neodymium is a <extra_id_0>,11,3
"[['ride bicycle', 'has subevent', '<extra_id_0>']]",sweat,summarize: ride bicycle has subevent <extra_id_0>,8,4
"[['sunshine', 'is in', '<extra_id_0>']]",desktop,summarize: sunshine is in <extra_id_0>,5,2
"[['hiking', 'causes', '<extra_id_0>']]",physical exertion,summarize: hiking causes <extra_id_0>,4,1
"[['dart tag', 'has context', '<extra_id_0>']]",sports,summarize: dart tag has context <extra_id_0>,7,2
"[['walk', 'is distinct from', '<extra_id_0>']]",excursion,summarize: walk is distinct from <extra_id_0>,6,3
"[['snow', 'is', '<extra_id_0>']]",beautiful,summarize: snow is <extra_id_0>,4,1
"[['glass', 'is', '<extra_id_0>']]",dirty,summarize: glass is <extra_id_0>,4,1
"[['better', 'is a manner of', '<extra_id_0>']]",change state,summarize: better is a manner of <extra_id_0>,8,5
"[['start flame or fire', 'is motivated by', '<extra_id_0>']]",heat,summarize: start flame or fire is motivated by <extra_id_0>,9,3
"[['testing car', 'causes', '<extra_id_0>']]",purchase,summarize: testing car causes <extra_id_0>,5,1
"[['container', 'has context', '<extra_id_0>']]",object oriented programming,summarize: container has context <extra_id_0>,5,2
"[['start family', 'is motivated by', '<extra_id_0>']]",babies,summarize: start family is motivated by <extra_id_0>,7,3
"[['score home run', 'has prerequisite', '<extra_id_0>']]",play baseball,summarize: score home run has prerequisite <extra_id_0>,7,2
"[['taking examination', 'has subevent', '<extra_id_0>']]",sweating,summarize: taking examination has subevent <extra_id_0>,8,4
"[['polish', 'is an antonym of', '<extra_id_0>']]",roughen,summarize: polish is an antonym of <extra_id_0>,9,6
"[['proper', 'is an antonym of', '<extra_id_0>']]",improper,summarize: proper is an antonym of <extra_id_0>,9,6
"[['object', 'is distinct from', '<extra_id_0>']]",preposition,summarize: object is distinct from <extra_id_0>,6,3
"[['remediate', 'is a synonym of', '<extra_id_0>']]",rectify,summarize: remediate is a synonym of <extra_id_0>,9,5
"[['brayon', 'is a', '<extra_id_0>']]",ethnic group,summarize: brayon is a <extra_id_0>,8,3
"[['cleaning room', 'has prerequisite', '<extra_id_0>']]",vacuum cleaner,summarize: cleaning room has prerequisite <extra_id_0>,6,2
"[['car', 'is', '<extra_id_0>']]",new,summarize: car is <extra_id_0>,4,1
"[['take stand', 'has subevent', '<extra_id_0>']]",take fifth amendment,summarize: take stand has subevent <extra_id_0>,8,4
"[['going to school', 'is a part of', '<extra_id_0>']]",growing up,summarize: going to school is a part of <extra_id_0>,10,5
"[['thinking', 'has subevent', '<extra_id_0>']]",headache,summarize: thinking has subevent <extra_id_0>,7,4
"[['cygnus', 'has context', '<extra_id_0>']]",greek mythology,summarize: cygnus has context <extra_id_0>,10,2
"[['person', 'is capable of', '<extra_id_0>']]",buy item,summarize: person is capable of <extra_id_0>,6,3
"[['people', 'is', '<extra_id_0>']]",cruel,summarize: people is <extra_id_0>,4,1
"[['punch', 'is motivated by', '<extra_id_0>']]",lied,summarize: punch is motivated by <extra_id_0>,6,3
"[['cry', 'is motivated by', '<extra_id_0>']]",distraught,summarize: cry is motivated by <extra_id_0>,6,3
"[['cruiser', 'is a synonym of', '<extra_id_0>']]",cabin cruiser,summarize: cruiser is a synonym of <extra_id_0>,9,5
